SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
721,2/04/20,Jilin,Mainland China,2020-02-04T00:23:05,42,0,1
722,2/04/20,Inner Mongolia,Mainland China,2020-02-04T03:03:07,35,0,1
723,2/04/20,Ningxia,Mainland China,2020-02-04T02:13:18,34,0,1
724,2/04/20,Xinjiang,Mainland China,2020-02-04T01:33:01,29,0,0
725,2/04/20,,Thailand,2020-02-04T15:33:03,25,0,5
726,2/04/20,,Singapore,2020-02-04T15:33:03,24,0,0
727,2/04/20,,Japan,2020-02-04T16:43:03,22,0,1
728,2/04/20,Hong Kong,Hong Kong,2020-02-04T09:03:02,17,1,0
729,2/04/20,,South Korea,2020-02-04T15:33:03,16,0,0
730,2/04/20,Qinghai,Mainland China,2020-02-04T01:33:01,15,0,0
731,2/04/20,,Germany,2020-02-03T20:53:02,12,0,0
732,2/04/20,Taiwan,Taiwan,2020-02-04T14:53:02,11,0,0
733,2/04/20,Macau,Macau,2020-02-04T04:43:02,10,0,0
734,2/04/20,,Malaysia,2020-02-04T07:33:02,10,0,0
735,2/04/20,,Vietnam,2020-02-03T21:43:02,8,0,1
736,2/04/20,,France,2020-02-01T01:52:40,6,0,0
737,2/04/20,,United Arab Emirates,2020-02-02T05:43:01,5,0,0
738,2/04/20,New South Wales,Australia,2020-02-01T18:12:49,4,0,2
739,2/04/20,Victoria,Australia,2020-02-01T18:12:49,4,0,0
740,2/04/20,Queensland,Australia,2020-02-04T16:53:03,3,0,0
741,2/04/20,,India,2020-02-03T21:43:02,3,0,0
742,2/04/20,South Australia,Australia,2020-02-02T22:33:07,2,0,0
743,2/04/20,"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
744,2/04/20,,Italy,2020-01-31T08:15:53,2,0,0
745,2/04/20,,Philippines,2020-02-02T03:33:07,2,1,0
746,2/04/20,,Russia,2020-01-31T16:13:45,2,0,0
747,2/04/20,,UK,2020-02-01T01:52:40,2,0,0
748,2/04/20,"Chicago, IL",United States of America,2020-02-01T19:43:03,2,0,0
749,2/04/20,"San Benito, CA",United States of America,2020-02-03T03:53:02,2,0,0
750,2/04/20,"Santa Clara, CA",United States of America,2020-02-03T00:43:02,2,0,0
751,2/04/20,,Belgium,2020-02-04T15:43:02,1,0,0
752,2/04/20,,Cambodia,2020-01-31T08:15:53,1,0,0
